,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
126,Georgia,P00015537,Simmons; Jade,181,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Georgia,P80005572,La Riva; Gloria,159,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Georgia,P00012039,Charles; Mark,65,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Georgia,P00014209,Blankenship; Don,61,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Georgia,n/a,Collins; Loren,11,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Georgia,P00012799,Bellar; Barbara,10,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Georgia,P00017202,Boddie; President R19,8,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Georgia,P60013281,Sherrill; Peter,8,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Georgia,P20004768,Jacob-Fambro; Princess,7,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Georgia,n/a,Byrne; David,6,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Georgia,P00007864,Wells; Kasey,6,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Georgia,P00011189,Howard; Shawn,5,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Georgia,n/a,Gibson; Kathryn,2,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Georgia,P00005207,Rouse; Deborah,1,16.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Hawaii,P80000722,Biden; Joseph R.,366130,4.0,47.0,4.0,3.0,3.0,47.0,31.0,30.0
141,Hawaii,P80001571,Trump; Donald J.,196864,4.0,47.0,0.0,1.0,1.0,0.0,15.0,16.0
142,Hawaii,P00013524,Jorgensen; Jo,5539,4.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0
143,Hawaii,P00012211,Hawkins; Howie,3822,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Hawaii,P00016550,Pierce; Brock J.,1183,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Hawaii,P00014209,Blankenship; Don,931,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Idaho,P80001571,Trump; Donald J.,554119,4.0,54.0,4.0,3.0,3.0,54.0,35.0,35.0
147,Idaho,P80000722,Biden; Joseph R.,287021,4.0,54.0,0.0,1.0,1.0,0.0,17.0,18.0
148,Idaho,P00013524,Jorgensen; Jo,16404,4.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0
149,Idaho,P00016741,West; Kanye,3632,4.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0
150,Idaho,P00016550,Pierce; Brock,2808,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Idaho,P00014209,Blankenship; Don,1806,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Idaho,P60016342,"""""""De La Fuente; Rocky """"""""Rocky""""""""""""""",1491,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Idaho,P00012211,Hawkins; Howie,407,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Idaho,P00013771,Carroll; Brian,163,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Idaho,P80005572,La Riva; Gloria Estela,49,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Idaho,P00015537,Simmons; Jade,21,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Idaho,P20005260,Hoefling; Tom C.,7,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Idaho,n/a,Cella; Todd,1,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Idaho,P00015867,Franklin; Chris,1,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Idaho,P00011189,Howard; Shawn,4,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Illinois,P80000722,Biden; Joseph R.,3471915,20.0,430.0,20.0,13.0,12.0,430.0,248.0,247.0
162,Illinois,P80001571,Trump; Donald J.,2446891,20.0,430.0,0.0,7.0,8.0,0.0,173.0,174.0
163,Illinois,P00013524,Jorgensen; Jo,66544,20.0,430.0,0.0,0.0,0.0,0.0,5.0,5.0
164,Illinois,P00012211,Hawkins; Howie,30494,20.0,430.0,0.0,0.0,0.0,0.0,2.0,2.0
165,Illinois,P00013771,Carroll; Brian,9548,20.0,430.0,0.0,0.0,0.0,0.0,1.0,1.0
166,Illinois,P80005572,La Riva; Gloria,8046,20.0,430.0,0.0,0.0,0.0,0.0,1.0,1.0
167,Illinois,n/a,Farney; John,84,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Illinois,P00015537,Simmons; Jade,78,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Illinois,P00012039,Charles; Mark,75,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Illinois,P00014209,Blankenship; Don,18,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Illinois,P00007864,Wells; Kasey,18,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Illinois,n/a,Williams; Andy; Jr.,8,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Illinois,P00012799,Bellar; Barbara,7,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Illinois,P00015230,Kishore; Joseph,5,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Illinois,n/a,McKee; Kevin,4,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Illinois,P00014522,Collins; Phill,3,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Illinois,n/a,Struck; James Timothy,2,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Illinois,n/a,Ball; Dennis Andrew,1,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Illinois,n/a,Higgs; Jeremy,1,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Illinois,P00005207,Rouse; Deborah,1,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Illinois,n/a,Simmons; Mary Ruth Caro,1,20.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Indiana,P80001571,Trump; Donald J.,1729857,11.0,218.0,11.0,7.0,6.0,218.0,125.0,125.0
183,Indiana,P80000722,Biden; Joseph R.,1242498,11.0,218.0,0.0,4.0,5.0,0.0,89.0,89.0
184,Indiana,P00013524,Jorgensen; Jo,58901,11.0,218.0,0.0,0.0,0.0,0.0,4.0,4.0
185,Indiana,P00012211,Hawkins; Howie,989,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Indiana,P00013771,Carroll; Brian,895,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Indiana,P00011189,Howard; Shawn,23,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Indiana,P00010660,McCray; Valerie,17,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Indiana,P00003962,Schriner; Joe,13,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Indiana,n/a,Johnson; James L.; Jr.,5,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Indiana,P00005207,Rouse; Deborah,4,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Indiana,n/a,Williams; Mitchell,4,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Indiana,P00009084,Stried; Christopher,2,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Indiana,n/a,F; Randall,1,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Indiana,P00007864,Wells; Kasey,1,11.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Iowa,P80001571,Trump; Donald J.,897672,6.0,103.0,6.0,4.0,3.0,103.0,56.0,55.0
197,Iowa,P80000722,Biden; Joseph R.,759061,6.0,103.0,0.0,2.0,3.0,0.0,46.0,46.0
198,Iowa,P00013524,Jorgensen; Jo,19637,6.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0
199,Iowa,n/a,Scattered,4337,6.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0
200,Iowa,P00016741,West; Kanye,3210,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Iowa,P00012211,Hawkins; Howie,3075,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Iowa,P00014209,Blankenship; Don,1707,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Iowa,P60016342,De La Fuente; Roque Rocky,1082,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Iowa,n/a,King; Ricki Sue,546,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Iowa,P00016550,Pierce; Brock,544,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Kansas,P80001571,Trump; Donald J.,771406,6.0,97.0,6.0,4.0,3.0,97.0,55.0,55.0
207,Kansas,P80000722,Biden; Joseph R.,570323,6.0,97.0,0.0,2.0,3.0,0.0,40.0,40.0
208,Kansas,P00013524,Jorgensen; Jo,30574,6.0,97.0,0.0,0.0,0.0,0.0,2.0,2.0
209,Kansas,P00012211,Hawkins; Howie,669,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Kansas,P00013771,Carroll; Brian,579,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Kansas,P00016741,West; Kanye,332,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Kansas,P00015537,Simmons; Jade,48,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Kansas,P00012039,Charles; Mark,29,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Kansas,P20005260,Hoefling; Tom,14,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Kansas,P00016550,Pierce; Brock,4,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Kansas,P60020963,Sood; Ajay,4,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Kansas,P00016840,Edwards; Jason,2,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Kansas,P00010124,Hunter; Dario,1,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Kansas,P00007864,Wells; Kasey,1,6.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Kentucky,P80001571,Trump; Donald J.,1326646,8.0,147.0,8.0,6.0,5.0,147.0,92.0,91.0
221,Kentucky,P80000722,Biden; Joseph R.,772474,8.0,147.0,0.0,2.0,3.0,0.0,52.0,53.0
222,Kentucky,P00013524,Jorgensen; Jo,26234,8.0,147.0,0.0,0.0,0.0,0.0,2.0,2.0
223,Kentucky,P00016741,West; Kanye,6483,8.0,147.0,0.0,0.0,0.0,0.0,1.0,1.0
224,Kentucky,P00016550,Pierce; Brock,3599,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Kentucky,P00012211,Hawkins; Howie,716,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Kentucky,P00013771,Carroll; Brian,408,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Kentucky,P80005572,La Riva; Gloria,98,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Kentucky,P00012039,Charles; Mark,43,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Kentucky,P00015537,Simmons; Jade,29,8.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
